date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:55	78774/78774	---MC-	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202022%2009:01:55%20GMT	https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/Ihbar.html	(from )
12:01:56	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/robots.txt		(from )
12:01:56	2840/2840	---MC-	200	added ('OK')	text/css	etag:%22{1FEE8C22-E144-4E9B-9349-87FE219CC768},1%22	https://onlineislemler.egm.gov.tr/Style%20Library/tr-TR/Themable/Core%20Styles/pagelayouts15.css	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Style%20Library/tr-TR/Themable/Core%20Styles/pagelayouts15.css	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:00	340396/340396	---M--	200	added ('OK')	text/css	etag:%220e437bd4dad71:0%22	https://onlineislemler.egm.gov.tr/_layouts/15/1055/styles/Themable/corev15.css?rev=h1FBNDK3HL8WWivBFvKgsw%3D%3DTAG0	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/_layouts/15/1055/styles/Themable/corev152332.css	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:00	3228/3228	---MC-	200	added ('OK')	text/css	etag:%22{164144D9-71D4-46A7-9E6D-67740A77E9BE},62%22	https://onlineislemler.egm.gov.tr/_catalogs/masterpage/EGM2019/cmStyle2021.css	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/_catalogs/masterpage/EGM2019/cmStyle2021.css	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:00	25876/25876	---M--	200	added ('OK')	application/javascript	etag:%220a1485e656ed81:0%22	https://onlineislemler.egm.gov.tr/_layouts/15/1055/initstrings.js?rev=Rqx%2B7%2FyQCj1gU2iLrAmmzA%3D%3DTAG0	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/_layouts/15/1055/initstrings1848.js	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:00	303226/303226	---M--	200	added ('OK')	application/javascript	etag:%22047e65b656ed81:0%22	https://onlineislemler.egm.gov.tr/_layouts/15/init.js?rev=yq5WIw3UTb%2FIj1%2FtumcbkA%3D%3DTAG0	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/_layouts/15/init0563.js	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:00	34970/34970	---M--	200	added ('OK')	application/javascript	etag:%220ab2012d4ed41:0%22	https://onlineislemler.egm.gov.tr/_layouts/15/theming.js?rev=SuLUbbwTXcxFWOWLFUsOkw%3D%3DTAG0	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/_layouts/15/theming24b4.js	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:00	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/_layouts/bilisim.common/bilisimribbon.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/_layouts/bilisim.common/bilisimribbon.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:01	456/456	---M--	200	added ('OK')	application/javascript	etag:%2201ab55a656ed81:0%22	https://onlineislemler.egm.gov.tr/_layouts/15/blank.js?rev=MAOY0rxpA1G6Zq3jaFOGiw%3D%3DTAG0	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/_layouts/15/blank4f08.js	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:01	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/require.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/require.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:01	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/strings.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/strings.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:01	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/sp.runtime.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/sp.runtime.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:02	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/sp.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/sp.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:02	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/sp.ui.dialog.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/sp.ui.dialog.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:02	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/sp.init.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/sp.init.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:02	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/core.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/core.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:03	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/menu.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/menu.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:03	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/mQuery.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/mQuery.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:03	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/callout.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/callout.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
12:02:03	2967/2967	---M--	200	added ('OK')	text/html		https://onlineislemler.egm.gov.tr/Sayfalar/sp.core.js	C:/Benim%20Web%20Sitem/egm/onlineislemler.egm.gov.tr/Sayfalar/sp.core.html	(from https://onlineislemler.egm.gov.tr/Sayfalar/Ihbar.aspx)
